config,cost_segment,capital,fuel,marginal
2030_tot,Distribution,184486255933.87622,0.0,0.0
2030_tot,Energy production,272428664143.97763,378299132088.3737,282498175144.53406
2030_tot,Storage,44612789710.19462,0.0,0.0
2030_tot,Transmission,11723005334.368328,0.0,117680022.797558
2040_tot,Distribution,196583840651.39902,0.0,0.0
2040_tot,Energy production,339779377751.84393,252746304303.0873,247934905447.1038
2040_tot,Storage,50328110497.95231,0.0,0.0
2040_tot,Transmission,13296935949.547867,0.0,81343468.66171084
2030_be,Distribution,5396606140.305769,0.0,0.0
2030_be,Energy production,6909764969.105373,2901709910.035593,11740961257.073313
2030_be,Storage,480131263.5873347,0.0,0.0
2040_be,Distribution,6095403860.137863,0.0,0.0
2040_be,Energy production,6915019611.959884,1921328389.0689392,9373508076.722942
2040_be,Storage,486109873.30624336,0.0,0.0
2030_eu27,Distribution,154087728087.72714,0.0,0.0
2030_eu27,Energy production,230820546304.607,96324409325.84042,215739191071.87314
2030_eu27,Storage,31582429157.70706,0.0,0.0
2040_eu27,Distribution,164823481235.32022,0.0,0.0
2040_eu27,Energy production,280483621231.24097,78923715221.29204,191786008640.6899
2040_eu27,Storage,35928272111.07376,0.0,0.0
