countries,carrier,2030,2030_std,2040,2040_std,2050,2050_std
AL,gas,24.499090466400236,1.0925695995154634,23.589535948865525,1.0999903246661786,22.459087769207855,0.1899990581061482
AT,gas,23.829676093093653,8.610231422946186e-08,22.915831631367872,1.1682958966387533e-07,22.52000127847334,2.3063014194409312e-08
BA,gas,23.74494326102845,1.2545573695511474,22.835382178618197,0.6456560955506345,22.124175439780696,1.3365582678429436e-06
BE,gas,26.074351584667596,0.2658108630362974,25.731085026674908,0.555848787309436,25.098010207623663,0.8066365793778573
BG,gas,24.435569074170314,1.1202106878765224e-06,23.7600009685942,4.085034103027386e-07,23.491631964789477,2.1641638576200497e-07
CH,gas,25.966120256129773,1.299347062226064,25.052270324934057,1.4458259789511427,23.761746780062435,0.0545309090931952
CZ,gas,24.360691677390076,2.875484538775822e-07,23.760002259218297,1.2594107579282338e-07,23.760000079251288,4.1123101168233025e-08
DE,gas,24.99999996258565,2.4275168458968622e-08,24.999999972685153,1.9190655004692472e-08,24.99999984973331,3.3653889323463214e-08
DK,gas,26.562744345557853,0.7636510805868233,26.313730370340856,0.1200548614369876,25.619997045033028,6.373347518007047e-07
EE,gas,24.366349087262893,0.6154838743301496,24.366350229493037,0.5295887453898238,23.812656716401193,0.2483412682613042
ES,gas,25.85489554816087,0.0717108223768269,25.740959099203515,0.1217963652160098,24.457824631364893,0.1230683765267862
FI,gas,26.234270161340504,1.5762109966512008,25.742860422863195,1.42810667586082,25.001184275266574,0.0643315985692622
FR,gas,24.99999999966838,4.6402351268876385e-08,24.999999975543343,2.9416018063297564e-08,24.99999962791531,2.0369098231195135e-08
GB,gas,25.210957327427487,1.4444718346686391e-06,25.210957786618273,6.319457739090013e-07,23.140000873061133,3.9127300481289825e-08
GR,gas,24.99999595412824,2.579610986393673e-06,24.51585013640529,0.3991575101667957,22.774755184501227,6.440602702545324e-06
HR,gas,24.669560990860973,0.8034540910791397,23.76000259511582,1.8844933586491692e-06,23.364173977331863,7.585773287249185e-07
HU,gas,24.128541346621404,9.431615299657668e-08,23.760000678472597,1.047547616767148e-08,23.760000146241833,1.5011828795863012e-08
IE,gas,26.150575168515147,2.135755377949885e-06,26.150578964671627,9.03069373575372e-07,25.00000006383048,5.2097278757870695e-08
IT,gas,25.110904008846564,0.2330995427537852,25.11090903448381,0.2201048879038417,25.110905265621323,0.225506170322557
LT,gas,24.187131597067413,0.5876174687416977,23.993442553267297,0.4815866575389388,23.76040827690347,0.0228638226415657
LU,gas,27.912621567068975,0.8997290587465012,27.089316066224324,1.411361181678288,25.7967951086794,1.4329692697474048
LV,gas,24.999999264816772,4.273272934257223e-08,24.99999910061637,1.8277947357843964e-08,24.999984414223626,7.718714987622496e-09
ME,gas,25.404183462758724,1.1906040597595822,24.494624156017817,0.91156365445933,23.36418136476124,1.9267860202673935e-06
MK,gas,26.054749463778656,0.7958118977456508,25.145200964604474,0.856075894378133,24.014748133211334,7.062029790986802e-06
NL,gas,24.99999989528193,1.0319407006620769e-08,24.999999905774,1.12787451576775e-08,24.999999295980064,9.01454532684124e-09
NO,gas,24.999999849024547,3.5934985582498154e-08,24.999999941314044,9.972745894697262e-09,24.99999455743035,1.8413317152042912e-06
PL,gas,25.000000098352945,5.086075085826815e-08,24.999999972630853,3.4373969743526415e-08,24.999999432632976,2.4875155136167553e-08
PT,gas,25.184277780644525,4.767581186823579e-06,25.184280472746945,6.048779121095602e-07,24.99999968626083,3.170993911998726e-08
RO,gas,24.99999911611054,2.1261298378480155e-08,24.99999919443156,1.09326904988295e-08,24.73163710184983,2.3786832866601366e-07
RS,gas,27.057098360683906,1.6283771236572189,25.734625327060417,0.911565099343284,24.604169422930283,1.221168714312261e-06
SE,gas,26.988950527967912,1.2215041344788893,26.240002007126105,2.932401659935967e-06,26.239994298655443,1.8353138575086897e-06
SI,gas,25.51708890374067,0.7719268561474962,24.603254654320462,0.4195758948199969,24.20742549051636,0.2981446255838767
SK,gas,24.999999930296266,7.239351627311253e-09,24.999999947866883,4.010409091198326e-09,24.999999872857305,1.5790013050014277e-08
AL,elec,67.52381129916051,16.946871294099633,63.57676719790198,31.302983681397897,60.458844548190136,39.45755466136325
AT,elec,65.68972038992875,17.503924576488266,66.83853890968729,31.435183543501516,69.0379643190529,46.55305545973646
BA,elec,67.36928390923434,16.720493931870326,65.39252369127355,31.62084854234996,62.17832032341535,40.324637386967
BE,elec,57.44575036904379,23.241876543312113,62.67143894452578,40.91236438719627,62.72991309302586,57.903489744365736
BG,elec,66.76749398030448,17.21017786322672,63.12993913283468,30.803931708453117,60.42284350186849,38.786401331145306
CH,elec,59.17131366409625,22.76775216095337,61.08047431615463,32.3910385458584,62.13387047717053,39.966871141876034
CZ,elec,63.96310577655451,20.50920482124668,65.39869476569277,34.37094029023459,69.51433487824946,52.605361529060815
DE,elec,57.523221462085736,24.036871336344568,62.29251223739759,37.75893108042288,65.45603374790112,57.58150615703894
DK,elec,42.3110085479818,17.586204925156622,47.16017769975976,27.032387218073836,49.84190861409936,40.92497320281208
EE,elec,51.88532983529112,18.677893197310315,52.926527931068534,26.02807906133388,57.318342445955146,41.856755260980314
ES,elec,58.32599079488063,27.60737791241985,58.16157105857744,28.744181066767936,53.673044503949185,26.50830311304787
FI,elec,36.36401947286894,4.646065035588688,45.55049976557837,10.990816463007349,51.54142930226569,21.482042579043277
FR,elec,56.81621443323525,22.28521668901306,57.94953282760272,33.29809458457199,54.4940987714054,37.582525016805555
GB,elec,55.13126416731927,32.66142079414913,61.14130952011557,45.62524468103987,54.84516778192299,66.79951540874877
GR,elec,66.25132034284404,18.467451536471717,61.85623968283827,31.24434196395876,57.85792523120933,37.89144135096244
HR,elec,67.27722727581089,16.73053598371364,66.40169059586933,31.82503172988357,64.30513425708578,42.488604615585395
HU,elec,65.84187112697549,17.309314304498855,65.88657817242756,32.0938785911624,64.49730654759338,43.67344606617163
IE,elec,50.80368176502539,35.772397394808316,61.30935284223851,45.99041278405236,57.99700876704232,81.98175708708783
IT,elec,70.48961463017127,21.925336841434746,81.32544955475782,39.98275039581352,74.77000448790241,59.7267536233946
LT,elec,51.88533122098118,18.677894613648053,52.903071433322125,26.04290247930444,57.140650652010024,41.8813982020775
LU,elec,57.72520520455121,23.398906783687305,62.86940368347981,38.35669760320638,64.79921968377725,56.131284107364
LV,elec,51.885331106727406,18.677894469063133,52.90307123846267,26.04290233762279,57.14065102964487,41.881398101381585
ME,elec,67.508466363958,16.833586951969398,64.25840477650016,31.35636903490915,61.25174395825909,40.09701869882747
MK,elec,66.70394674985822,17.621165042461755,63.012256034048335,31.870205848880023,59.6708908479224,40.54111848589368
NL,elec,57.44276497842873,23.68690466701149,58.91049218602835,41.12834611825396,57.73884323591324,55.81593271918468
NO,elec,36.00159162208742,2.8588381336035287,44.65474661124294,4.4690706830610285,51.17451221609641,10.012870028447582
PL,elec,62.77272741488048,20.622654748580977,62.98007561198187,35.639365914469465,64.59621954533434,54.07759884788297
PT,elec,67.59919838283442,18.915308860102076,63.60162383212211,23.7780628143044,53.87679456207353,25.809647836091113
RO,elec,66.7676545946882,17.085938160973026,63.313534495521225,30.692191032560206,60.83926147338509,39.30296474149427
RS,elec,67.26172247932806,16.976803829075266,63.86211247889212,31.165522989236468,61.247907275474944,40.17170143748381
SE,elec,35.81020718302128,3.38789902655955,43.6044969988666,8.748024386195059,48.53770131961162,17.623608960496096
SI,elec,67.59846101335442,16.749121433411567,68.00042624006984,31.804748862635996,66.51451253856969,44.25584579969665
SK,elec,64.66529754200438,19.269974101727335,65.80477590526216,34.046781594299844,69.34216846222527,52.715946859606674
AL,H2,68.17877361115049,2.00202091115349,78.86723841825261,2.197398697869277,82.70916438461204,10.409581295303026
AT,H2,67.24817708496984,2.978980651304228,75.50088208607572,3.7799097458279913,81.86192870096494,10.680088695753648
BA,H2,67.12525104260482,2.2521499930029796,78.12475989748246,2.505216603151886,82.70344226310372,9.88199066789323
BE,H2,67.94145510813429,4.8831367059814195,75.30764781437286,4.4174832938542385,76.2492746535113,14.498938557305271
BG,H2,68.12625216637286,1.9541342468562048,75.05674669309144,2.578614991604365,81.47538956742713,10.703076740168
CH,H2,68.84754903190466,4.138311432042589,77.40480855545098,4.7455230340942,81.38626998270313,10.78799209365662
CZ,H2,68.01776672973051,3.683215241073484,74.9878599245083,4.6335678065961226,80.396993689531,11.595237541929398
DE,H2,68.94429889670135,4.795045640160615,76.30480878143959,4.7455241369641765,78.09421699215659,13.561567873235342
DK,H2,69.3374521251514,4.728517825522385,73.79644159164316,5.642021391153644,72.26945174539236,12.18675274147256
EE,H2,68.02564604243268,4.246330995238843,76.63292779790031,4.72598772466385,80.74026830882758,12.499788871305377
ES,H2,68.15134999232728,4.192274223669601,76.11380037812805,3.972566109376451,79.21624329714668,11.479147782131603
FI,H2,70.73309624648117,5.9781804800802805,76.35799268570733,7.093238738644664,79.39309297384527,13.083381667294512
FR,H2,68.7653965818684,4.617190165906804,76.01418350274945,4.09823584526428,77.28441228239467,14.218493373261367
GB,H2,68.39536823125343,5.250951928385618,74.89798144295301,5.265997664944283,70.63195642998377,15.250193453083796
GR,H2,68.9442137475039,1.8733688021506287,77.30307689854345,2.9723387524568405,80.47974145430015,13.43056700743887
HR,H2,68.46537194974808,2.591627780775504,75.89372411231955,3.490634269152083,82.53681801135265,10.670869656367046
HU,H2,67.68129317528378,2.705395247577057,75.04369360967964,3.3057585919715544,81.98531666634469,10.638958343739771
IE,H2,69.95480189650223,4.966310056962154,77.83331312978238,8.57059893792405,72.10559687962505,18.552620949026416
IT,H2,69.10483811009166,2.393669547704942,79.08504681334153,1.8554100923473416,82.37318380955762,10.99734993544826
LT,H2,67.7662086305463,3.3482877905973516,74.43432887582121,4.048501150769803,80.81388394828691,12.288973327849552
LU,H2,69.29208920825562,4.848578016994591,76.56642059469183,4.221247637349585,77.24157295791935,14.241388692529464
LV,H2,67.76849574441164,3.435156729527314,74.90813356189132,4.108256947756713,81.21595286532845,12.239965465751308
ME,H2,68.61363155382799,2.141154692164634,80.93888777426976,2.329016639104383,82.6684084619611,10.637673885792474
MK,H2,70.47094524478332,1.960637064484127,79.42203350714264,2.301315487539376,82.12712404512878,11.28952886414814
NL,H2,68.9442997686549,4.85721445316316,75.24930384417465,4.783403951322189,73.94814522637385,14.06289519656515
NO,H2,68.94430016078863,4.504775110751159,75.60702423472571,4.803970075448019,79.71853844331245,9.338764626204528
PL,H2,68.70245878857958,3.697962189396869,76.08785186477839,4.633568076644211,79.91310260187333,11.913881424423806
PT,H2,62.51467857585938,2.3600347048166332,76.52594601716494,3.354108748609778,79.5944226301062,5.392603528971488
RO,H2,68.9442836147269,1.9517934261881604,76.44989918271506,2.441195803893658,82.57539605359948,10.703076064961358
RS,H2,70.4703549148796,2.1387364756052674,79.58136098096358,2.4766840621929807,82.3073440213192,10.137652004459262
SE,H2,71.2656298565512,3.5674940963655413,74.9951964504208,4.796945435304914,75.98166152736655,10.139111452619826
SI,H2,68.31219241860208,2.662363827338537,76.03772510185834,3.548875829479839,81.80786863920089,10.64485557117193
SK,H2,68.78027512706159,2.988465440699541,77.69389356369766,3.510842331655406,82.30482916508753,10.148685159705638
